# V1	V2 
6219808 5599314
6272020 5581332
6306308 5570008
6327900 5562564

5459306 6472574
5478000 6335576
5496942 6330424
5515726 6326626
5518730 6250746
5521632 6149208
5568464 6107872
5570200 6082650
5598276 6075422
5611736 6007338
5617260 6006774
5654824 5973176
5667198 5900706
5709896 5874518
5725116 5837692
5760102 5836974
5772502 5821754
5817124 5786934
5827338 5755606
5841200 5732114
5887968 5729354
5927252 5684720
5935826 5672138
5978816 5659646
6016392 5622784
6073776 5621626
6097370 5581836
6289038 5566690

5491858 6403678
5492276 6347128
5501992 6321612
5507342 6314246
5508776 6279032
5510304 6163454
5525860 6120256
5554948 6119586
5563934 6106438
5580268 6089920
5590538 6069026
5598274 6048738
5622562 6037658
5624374 6018308
5629954 6010616
5634070 5971220
5670456 5921322
5684026 5918784
5703500 5903930
5736216 5844806
5758852 5828618
5771054 5807936
5824234 5754078
5830534 5747444
5850850 5742776
5858832 5728474
5924410 5717742
5946666 5692180
5973574 5665240
5982892 5645420
6057330 5625640
6132696 5606594
6179432 5583116
6310588 5581560
6357798 5565104

5473616 6365124
5483300 6313064
5504884 6253696
5507284 6248576
5521370 6221830
5533570 6197372
5535110 6194642
5556436 6135286
5568184 6073172
5596556 6066640
5604918 6048232
5611088 6007282
5613452 5977660
5648454 5957486
5666660 5927316
5691638 5917364
5696656 5881888
5746996 5855012
5781462 5829580
5783374 5827822
5801384 5782180
5802008 5772632
5836906 5745708
5898018 5728342
5914834 5710606
5923260 5694894
5944566 5675980
5989300 5655444
6015852 5654926
6071484 5651702
6085962 5614748
6155170 5605904
6219216 5597388
6229872 5596136
6355788 5585346
6358938 5580490

5451054 6443550
5468206 6292932
5513040 6278006
5519200 6158560
5541188 6144916
5575260 6094414
5584080 6041258
5603840 6032658
5611498 6005860
5670768 5981726
5671922 5901218
5736616 5865220
5743112 5852820
5756044 5814416
5858480 5757432
5859216 5740162
5862256 5736824
5890464 5727424
5925262 5714692
5931186 5702696
5991426 5672862
5996850 5644532
6029484 5632112
6101178 5595104
6150300 5583016
6163900 5571306
6262890 5559534

5466818 6467160
5484180 6308694
5490738 6278358
5512120 6248044
5523598 6150674
5557638 6093354
5557834 6088440
5578156 6068020
5596418 6041396
5615368 6002640
5629738 6001232
5630074 5987482
5647204 5969202
5675654 5931724
5698938 5862152
5771070 5837874
5792712 5821942
5798774 5821542
5816834 5811922
5837762 5767234
5861694 5766624
5864226 5762180
5877058 5730980
5916290 5709438
5964328 5692998
6004902 5681346
6012366 5680162
6025224 5666758
6030442 5657732
6049238 5626340
6098358 5618936
6112590 5600128
6172164 5598820
6234638 5580636
6276460 5567134
6391042 5560836

5476496 6448550
5484800 6441964
5486666 6326926
5509022 6185866
5526670 6113278
5561814 6102252
5585682 6100740
5605992 6074462
5611434 6000132
5615300 5999414
5618462 5995558
5627828 5993486
5639274 5949160
5680480 5879822
5740488 5837192
5750178 5834752
5815454 5776118
5819886 5774184
5874084 5749848
5882244 5733082
5901402 5725664
5934924 5706842
5941048 5697296
5968522 5689110
5979526 5679058
5987056 5676004
5999960 5671618
6004028 5661610
6065500 5657232
6102992 5628946
6118938 5618594
6156916 5614400
6166074 5599882
6187334 5568340
6291410 5551648

5462092 6578838
5469474 6312478
5470536 6308272
5506202 6202130
5537080 6094448
5575758 6038920
5594824 6012806
5621804 6010540
5622548 6002610
5654616 5965410
5659166 5948048
5659856 5945366
5673952 5943166
5681424 5923854
5711768 5916320
5713990 5895934
5725642 5828812
5748354 5819730
5783182 5816492
5786506 5813720
5842456 5796984
5850396 5783282
5857620 5769208
5864936 5762616
5870328 5747932
5873652 5727540
5946020 5693944
5972542 5688728
5983342 5650576
6017740 5649586
6022766 5639208
6074832 5609498
6144096 5609100
6197054 5607916
6205762 5586168
6254604 5584254
6313180 5576628
6372986 5574362
6389744 5571078

5477962 6305670
5502112 6303922
5518518 6285740
5525556 6240952
5529618 6174678
5572690 6112580
5583130 6105584
5592230 6066632
5601494 6052948
5632598 5993334
5635970 5952384
5653452 5950026
5656292 5924886
5688570 5892638
5728464 5864952
5768474 5819182
5792722 5795344
5810534 5775870
5823686 5753896
5826790 5748290
5901464 5711600
5953112 5694464
5964726 5681660
5993236 5633966
6091666 5620806
6161836 5619102
6187506 5594304
6207150 5573984
6329262 5572274
6444050 5571240

5476994 6413058
5487532 6345980
5497006 6334266
5498226 6310770
5502026 6298096
5502806 6249656
5525448 6234870
5536278 6199468
5540218 6178268
5553554 6176648
5555558 6126162
5586254 6119268
5587004 6095478
5599208 6053264
5605482 5956758
5693504 5946334
5719632 5942226
5721290 5875510
5768950 5818234
5774276 5789072
5805764 5769564
5820410 5760244
5872976 5741360
5911662 5709442
5942788 5699226
5959804 5670764
6007238 5654574
6045790 5622638
6123814 5619560
6188898 5593504
6212412 5571680
6366708 5565044

5471336 6315342
5491628 6284588
5501326 6277322
5502674 6262448
5508838 6254442
5513624 6227666
5535670 6176916
5538978 6162688
5548068 6134918
5552816 6126506
5563438 6099144
5586172 6060446
5600224 6032344
5635182 5999762
5660892 5940974
5699962 5897722
5708900 5857856
5769490 5840154
5787466 5817440
5804206 5813018
5826076 5772564
5827764 5771020
5831912 5761062
5847890 5757042
5867020 5714660
5982128 5681038
6001028 5672288
6010194 5666498
6045448 5663608
6050148 5658530
6052004 5652818
6084784 5618548
6155900 5590124
6259082 5586160
6349080 5580132
6415522 5571378

5480036 6476354
5482270 6326440
5491422 6275512
5505634 6240896
5519850 6221902
5527274 6218344
5541714 6188026
5565924 6045534
5609560 6042750
5619128 6020164
5631696 5988372
5659906 5964766
5662036 5960206
5665044 5947768
5683374 5890356
5715530 5875230
5742592 5849416
5752076 5843532
5776004 5823888
5803218 5788098
5858410 5750908
5900096 5734998
5905468 5727668
5910454 5725540
5948994 5662558
6029008 5658500
6066820 5654874
6067114 5623270
6097022 5617182
6128324 5611634
6180012 5608960
6189356 5602644
6239140 5568314
6244782 5565176

5477242 6497954
5485042 6418628
5488040 6388640
5498664 6385192
5499852 6361860
5504184 6343310
5504698 6224208
5521574 6149532
5543222 6098508
5577962 6089138
5593958 5998976
5626292 5972690
5668196 5941802
5688920 5937596
5700628 5910000
5730530 5897624
5735462 5852836
5754254 5848404
5759728 5832682
5763328 5822410
5773490 5803096
5839716 5770870
5877774 5768684
5885802 5698244
5966396 5685326
5974018 5673048
6001706 5658124
6013834 5649982
6031780 5643234
6073592 5622762
6080262 5621646
6111294 5591928
6210600 5580586
6278276 5572274
6359836 5571896

5483734 6527794
5484548 6401346
5489654 6362178
5500958 6348516
5505038 6288340
5507650 6253554
5514452 6205286
5527924 6173394
5553540 6154908
5563394 6124660
5570452 6037498
5621038 5981702
5629386 5969184
5662568 5938110
5674806 5938020
5680216 5915034
5703292 5884440
5741838 5833770
5771504 5824890
5780040 5816532
5797864 5805076
5810398 5788146
5813636 5762580
5836414 5750126
5883484 5745130
5898980 5698260
5931390 5697906
5958732 5685018
5965588 5682380
5979396 5677592
5995504 5672166
6033678 5668602
6047856 5643420
6102928 5614184
6126138 5605970
6132790 5601730
6182082 5583418
6231718 5583088
6261116 5578752
6393790 5558642

5479152 6370306
5483326 6346230
5485092 6251692
5517202 6222060
5535384 6178272
5536120 6170102
5536752 6143918
5554910 6108976
5567966 6106792
5569914 6051718
5605876 6040696
5641924 5993790
5661286 5968578
5662206 5967642
5673364 5935440
5716222 5855508
5773588 5831476
5785820 5823902
5823924 5749578
5849948 5739752
5944590 5683332
5994348 5671270
6017810 5634482
6109146 5634340
6117362 5595428
6208684 5586720
6269642 5571504
6271632 5552066

5482234 6406148
5498040 6340538
5502866 6197636
5530488 6185752
5543008 6165486
5559882 6143190
5573468 6130378
5575658 6129774
5576584 6044426
5649386 5949764
5654956 5944032
5687204 5901440
5695532 5893306
5733938 5836310
5775554 5791398
5814190 5755000
5845614 5742466
5879506 5720208
5900890 5718980
5904184 5693338
5970758 5677364
6002442 5676588
6004862 5643736
6027296 5634274
6129564 5615078
6160288 5613492
6204154 5603138
6249170 5595702
6258006 5587184
