25 15
22 22
23 19
23 17
24 16
29 14

20 20
26 15
20 19
21 16

24 16
19 21
22 17
25 16
21 18

22 14
20 17
19 18

22 15
22 20
20 20
25 15

25 17
22 17
31 15
21 18
29 16

25 14
21 17

19 16
20 15

19 17
20 16
26 15
24 16
27 14

23 14
20 19
19 20
24 14

20 17
26 16
21 16
26 14

27 14
23 16
24 16
23 17
21 21

22 20
21 20
22 19
24 14
23 16

22 19
23 16
22 17
25 15

20 16
26 16

20 20
19 21
20 18
21 15

21 19
23 14
23 15
24 13

22 17
24 17
20 21
25 16
20 18

26 15
23 15
21 21
22 17

20 18
23 16
23 15

12 9
15 9
12 10
11 11
13 9
11 15
20 9
23 8
11 12
22 8
12 11
11 14

15 8
19 8
13 10
13 9
12 10
14 9
14 8
12 11
18 8
19 7

15 9
18 9
12 10
20 8
18 8
12 11
20 7
17 9
13 10
11 12
10 13
14 9
12 12

12 10
12 11
15 8
13 9
11 11
15 9
14 9
19 8
11 12

17 8
11 12
13 11
14 10
17 9
12 12
18 8
12 11
15 9
13 10
19 8
19 7
11 13

13 10
15 8
14 8
14 10
13 11
14 9
12 12

13 10
15 9
16 8
12 11
14 9
12 12
15 8
13 9
19 8
12 10
11 12
20 7

13 10
13 11
16 8
12 12
14 9
13 9
15 8

15 8
13 9
12 10
11 10
14 9
13 10
11 11
15 9
16 7
16 8

16 8
15 9
15 8
14 10
14 9
13 11
12 12
13 12
13 10

12 10
13 9
13 10
14 8
12 11
15 8

14 9
13 9
12 10
15 8
17 8
11 12
13 10
18 8
15 9
12 11
18 7
11 15

13 10
11 12
12 11
12 10
17 9
19 8
17 8
12 12
13 9
18 8
14 9
11 14

13 9
14 9
12 10
12 11
15 8
16 8
14 8
13 10
11 11

13 9
12 10
13 10
14 9
14 8
15 8
12 11

14 9
13 11
13 10
18 8
15 9
12 12
16 9
14 10
20 7

13 11
13 12
15 10
12 13
20 7
16 9
12 14
14 10
15 9
13 10
20 9
12 12
21 7

15 8
14 8
13 10
12 12
14 9
13 9
12 11
16 8
13 11

15 8
14 9
11 10
12 9
18 7
16 8
13 9
18 8
12 10

19 8
12 11
12 9
13 9
15 8
11 12
12 10
14 9
14 8
18 8
